,Sorfold,Liperi ,Kitee,Skibotn,Bakki,Reykjavík,Kristinestad,Nivala,Jokkmokk,Torsboda,Kronoby,Alajarvi,Robertsfors,Nuuk,Honningsvag,Kemi,Mikkeli ,Boden,Hadsel,Sortland,Tjeldbergodden,Salsbruket,Rovaniemi ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Going to 3rd party ,Going to 3rd party ,Going to 3rd party ,GIGA-42 Responsibility,GIGA-42 Responsibility,GIGA-42 Responsibility,Development focus,Development focus,Development focus,Development focus,Development focus,Later stage project,Later stage project,Later stage project,Bin the project,Bin the project,Bin the project,Bin the project,Bin the project,Bin the project,Who the fuck knows,Bin the project,Bin the project,,,,,,,,,,,
,,"- Waiting on Timo & Pentti to circulate final contracts
- Signature of reservation in person May/June / site visit
","- TB to look for .DWG for Ramboll (not critical)
- Site visit for May/June when visiting Liperi ",,,,"- No pressing items
- TB to review reservation agreement & list project milestone todos ",- Waiting on detailed zoning compleition ,,- Waiting on response from Caine re our submission ,- TB & JS need to review purchase option agreement,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Big costs come in November,Big costs come in Q4 26,Big costs come in...?,?,Big costs come in 2027,,,,,,,,,,,,,,,,,,,,,,,
,100,100,60,15,200,"200

(100MW from Private Wire & 100MW from Grid)",250,400,400,1200,400,1000,280,55,15,1000,250,1000,40,40,110 - 190*,"5+**

Possibly 80MW+*",700-800,,,,,,,,,,,
,"KVU (Final Detailed Grid Study) - 25,000 USD

Permits - €200k to €350k

Land Acquisition - 30 000 NOK pr. 1000m2 up to 435 200m2

KPU (Grid Infrastructure Contribution) - $12,500,000","Permits - €200k to €350k

Land Acquisition - €1,324,665

FinGrid Connection Fee - €1,000,000 per 110kV connection 

Agent Fees: €2,500/MW

Substation design - €40,000

Legal WIP EUR 5896","To FID: $523,000
To RtB: $2,482,000
See Separate Breakdown

Land Acquisition - €200,000

FinGrid Connection Fee - €1,000,000 per 110kV connection 

Agent Fees: €2,500/MW

Substation & Connection design - €32,800","KVU (Detailed Grid Study) Cost: 1,900,000 NOK

KPU (Grid Infrastructure Contribution) Cost:  $2,925,600 estimate

Permits - €200k to €350k

Land Acquisition (including GroundWorks) - $4,144,000","Permits - €200k to €350k

Land Leasehold - TBC

Grid Connection Fees: TBC

Fibre Connection Costs: TBC

Substation design - €40,000",TBC,"Permits - €200k to €350k

Land Reservation - €30,000

Land Aquisition - estimated €3-10 per meter square

FinGrid Connection Fee - €1,000,000 per 110kV connection / €2,500,000 per 400kV connection

Agent Fees: €2,500/MW

Substation design - €40,000","Permits - €200k to €350k

Land Reservation - Estimated €20k-30k

Land Aquisition - estimated €3-10 per meter square

FinGrid Connection Fee - €1,000,000 per 110kV connection / €2,500,000 per 400kV connection

Substation design - €40,000","Land Aquisition - estimated €3-10 per meter square

Grid Infrastructure Contribution & Fees: TBC

Agent Fees: €2,500/MW

Permits - €200k to €350k","Land acquisition - TBC

Grid Infrastructure Contribution & Fees: TBC

Agent Fees: €2,500/MW

Permits - €200k to €350k","Permits - €200k to €350k

Land Reservation - Estimated €20k-30k

Land Aquisition - estimated €3-10 per meter square

FinGrid Connection Fee - €1,000,000 per 110kV connection / €2,500,000 per 400kV connection

Agent Fees: €2,500/MW

Substation design - €40,000","Land Reservation - Estimated €20k-30k

Land Aquisition - estimated €3-10 per meter square

FinGrid Connection Fee - €1,000,000 per 110kV connection / €2,500,000 per 400kV connection

Permits - €200k to €350k

Substation design - €40,000",Running project costs is paid by the Seller and activated in the SPV. Project costs and connection infrastructure costs will be covered by the buyer,TBC,"KVU (Detailed Grid Study) Cost: $50k to $200k

KPU (Grid Infrastructure Contribution) Cost: $2,925,600 estimate

Permits - €200k to €350k

Land Acquisition - $49,000","Purchase & legal costs: 100k EUR 

Acquisition Price: 15mil EUR (estimate)

Due Dilligence Costs: 85k EUR

Agent Fees: €2,500/MW

Permits - €200k to €350k

FinGrid Connection Fee - €1,000,000 per 110kV connection and €2,500,000 per 400kV connection.

Substation design - €40,000","Permits - €200k to €350k

Land Aquisition - 4,60 €/m2. Vuokrattavan määräalan lunastushinta on 607 651 €, josta vuosivuokra on 7,50 %.
Nykyinen vuosivuokra eli jäljempänä ns. perusvuokra on 45 574 euroa.

FinGrid Connection Fee - €1,000,000 per 110kV connection / €2,500,000 per 400kV connection

Agent Fees: €2,500/MW

Lease & Legal Work: 45k EUR excl legal work

Substation design - €40,000","Land acquisition - TBC

Grid Infrastructure Contribution & Fees: TBC

Agent Fees: €2,500/MW

Permits - €200k to €350k",TBC,TBC,TBC,TBC,TBC,,,,,,,,,,,
,,"400,000","400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"200,000",,,,,,,,,,,,,,,,,500000,,,,,,,Kristinestad,Kristinestad,Nivala,Nivala,Jokkmokk,Jokkmokk,Kronoby,Kronoby
,,"1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,Other,,,,,"100,000",June 26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Permitting,"400,000",October 26,"400,000",October 26,"400,000",September 26,"600,000",Q2 2027
,,,,,,,,,,,,,,,,,,,,,,,,,,Land purchase ,"1,610,000",Jan 27,"8,000,000",October 26,"20,000,000",2028/2029,"30,000",August 26
,,,,,,,,,,,,,,,,,,,,,,,,,,Connection fee,"2,500,000",December 26,"2,500,000",December 26,"12,000,000",2027,"2,500,000",September 26
,,,,,,,,,,,,,,,,,,,,,,,,,,Agent fee,"625,000",December 26,-,-,"1,000,000",2028/2029,"1,000,000",....
,,,,,,,,,,,,,,,,,,,,,,,,,,Substation design,"40,000",November 26,"40,000",October 26,"55,000",June 26,"40,000",2027
,,,,,,,,,,,,,,,,,,,,,,,,,,Total ,"5,175,000",,"10,940,000",,"33,455,000",,"4,170,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total 
,,,,,,,,,,,,,,,,,,,,,,,,,,2026 Costs,"3,565,000",,"10,940,000",,"555,000",,"2,530,000","17,590,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,2027 Costs,"1,610,000",,,,"12,000,000",,"640,000","14,250,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,2028 Costs,-,,-,,"21,000,000",,,21000000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FID Price,"125,000,000",,"200,000,000",,"200,000,000",,"200,000,000","725,000,000"